interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,annotation,interaction_name_2,evidence,is_neurotransmitter,ligand.symbol,ligand.family,ligand.location,ligand.keyword,ligand.secreted_type,ligand.transmembrane,receptor.symbol,receptor.family,receptor.location,receptor.keyword,receptor.surfaceome_main,receptor.surfaceome_sub,receptor.adhesome,receptor.secreted_type,receptor.transmembrane,version
PSAP_GPR37L1,PSAP,PSAP,GPR37L1,,,,,Secreted Signaling,PSAP - GPR37L1,PMID: 23690594,False,PSAP,,"Secreted, Lysosome","Secreted, Disulfide bond, Gaucher disease, Parkinsonism, Leukodystrophy, Metachromatic leukodystrophy, Alternative splicing, Sphingolipid metabolism, Glycoprotein, Gangliosidosis, Disease variant, Parkinson disease, Lysosome, Signal, Reference proteome, Neurodegeneration, Lipid metabolism, Direct protein sequencing, 3D-structure, Repeat",secreted,False,GPR37L1,G-protein coupled receptor 1,"Cilium membrane, Cell projection, Cell membrane","Transducer, Cell projection, Ubl conjugation, Membrane, Signal, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Phosphoprotein, Transmembrane, Receptor, G-protein coupled receptor, Glycoprotein",Receptors,GPCR;Rhodopsin,,,True,CellChatDB v1
SLURP1_CHRNA6,SLURP,SLURP1,CHRNA6,,,,,Secreted Signaling,SLURP1 - CHRNA6,KEGG: hsa04080,True,SLURP1,,Secreted,"Disease variant, Palmoplantar keratoderma, Signal, Reference proteome, Disulfide bond, Secreted, Direct protein sequencing, 3D-structure, Cytokine",,,CHRNA6,Ligand-gated ion channel (TC 1.A.9),"Postsynaptic cell membrane, Cell membrane","Membrane, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Ion transport, Glycoprotein, Signal, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse",Transporters,Channels;Ligand_gated_ion_channels;cys-loop,,,True,CellChatDB v1
SLURP1_CHRNA4,SLURP,SLURP1,CHRNA4,,,,,Secreted Signaling,SLURP1 - CHRNA4,KEGG: hsa04080,True,SLURP1,,Secreted,"Disease variant, Palmoplantar keratoderma, Signal, Reference proteome, Disulfide bond, Secreted, Direct protein sequencing, 3D-structure, Cytokine",,,CHRNA4,Ligand-gated ion channel (TC 1.A.9),"Cell membrane, Postsynaptic cell membrane","Membrane, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Ion transport, Glycoprotein, Disease variant, Signal, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Epilepsy, Phosphoprotein, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, 3D-structure, Palmitate",Transporters,Channels;Ligand_gated_ion_channels;cys-loop,,,True,CellChatDB v1
SLURP1_CHRNA3,SLURP,SLURP1,CHRNA3,,,,,Secreted Signaling,SLURP1 - CHRNA3,KEGG: hsa04080,True,SLURP1,,Secreted,"Disease variant, Palmoplantar keratoderma, Signal, Reference proteome, Disulfide bond, Secreted, Direct protein sequencing, 3D-structure, Cytokine",,,CHRNA3,Ligand-gated ion channel (TC 1.A.9),"Postsynaptic cell membrane, Cell membrane","Membrane, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Glycoprotein, Ion transport, Disease variant, Signal, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, 3D-structure",Transporters,Channels;Ligand_gated_ion_channels;cys-loop,,,True,CellChatDB v1
SLURP1_CHRNA2,SLURP,SLURP1,CHRNA2,,,,,Secreted Signaling,SLURP1 - CHRNA2,KEGG: hsa04080,True,SLURP1,,Secreted,"Disease variant, Palmoplantar keratoderma, Signal, Reference proteome, Disulfide bond, Secreted, Direct protein sequencing, 3D-structure, Cytokine",,,CHRNA2,Ligand-gated ion channel (TC 1.A.9),"Postsynaptic cell membrane, Cell membrane","Membrane, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Glycoprotein, Ion transport, Disease variant, Signal, Reference proteome, Cell membrane, Transmembrane helix, Epilepsy, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, 3D-structure",Transporters,Channels;Ligand_gated_ion_channels;cys-loop,,,True,CellChatDB v1
SLURP1_CHRNA1,SLURP,SLURP1,CHRNA1,,,,,Secreted Signaling,SLURP1 - CHRNA1,KEGG: hsa04080,True,SLURP1,,Secreted,"Disease variant, Palmoplantar keratoderma, Signal, Reference proteome, Disulfide bond, Secreted, Direct protein sequencing, 3D-structure, Cytokine",,,CHRNA1,Ligand-gated ion channel (TC 1.A.9),"Postsynaptic cell membrane, Cell membrane","Membrane, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Ion transport, Glycoprotein, Disease variant, Signal, Reference proteome, Congenital myasthenic syndrome, Cell membrane, Transmembrane helix, Transport, Direct protein sequencing, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, 3D-structure",Transporters,Channels;Ligand_gated_ion_channels;cys-loop,,,True,CellChatDB v1
SLURP1_CHRNB4,SLURP,SLURP1,CHRNB4,,,,,Secreted Signaling,SLURP1 - CHRNB4,KEGG: hsa04080,True,SLURP1,,Secreted,"Disease variant, Palmoplantar keratoderma, Signal, Reference proteome, Disulfide bond, Secreted, Direct protein sequencing, 3D-structure, Cytokine",,,CHRNB4,Ligand-gated ion channel (TC 1.A.9),"Postsynaptic cell membrane, Cell membrane","Membrane, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Ion transport, Glycoprotein, Signal, Reference proteome, Cell membrane, Transmembrane helix, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, 3D-structure",Transporters,Channels;Ligand_gated_ion_channels;cys-loop,,,True,CellChatDB v1
SLURP1_CHRNB3,SLURP,SLURP1,CHRNB3,,,,,Secreted Signaling,SLURP1 - CHRNB3,KEGG: hsa04080,True,SLURP1,,Secreted,"Disease variant, Palmoplantar keratoderma, Signal, Reference proteome, Disulfide bond, Secreted, Direct protein sequencing, 3D-structure, Cytokine",,,CHRNB3,Ligand-gated ion channel (TC 1.A.9),"Postsynaptic cell membrane, Cell membrane","Membrane, Disulfide bond, Transmembrane, Ion channel, Receptor, Ion transport, Glycoprotein, Signal, Reference proteome, Cell membrane, Transmembrane helix, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, 3D-structure",Transporters,Channels;Ligand_gated_ion_channels;cys-loop,,,True,CellChatDB v1
SLURP1_CHRNB2,SLURP,SLURP1,CHRNB2,,,,,Secreted Signaling,SLURP1 - CHRNB2,KEGG: hsa04080,True,SLURP1,,Secreted,"Disease variant, Palmoplantar keratoderma, Signal, Reference proteome, Disulfide bond, Secreted, Direct protein sequencing, 3D-structure, Cytokine",,,CHRNB2,Ligand-gated ion channel (TC 1.A.9),"Postsynaptic cell membrane, Cell membrane","Membrane, Disulfide bond, Transmembrane, Ion channel, Receptor, Ion transport, Glycoprotein, Disease variant, Signal, Reference proteome, Epilepsy, Transmembrane helix, Cell membrane, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse, 3D-structure",Transporters,Channels;Ligand_gated_ion_channels;cys-loop,,,True,CellChatDB v1
SLURP1_CHRNB1,SLURP,SLURP1,CHRNB1,,,,,Secreted Signaling,SLURP1 - CHRNB1,KEGG: hsa04080,True,SLURP1,,Secreted,"Disease variant, Palmoplantar keratoderma, Signal, Reference proteome, Disulfide bond, Secreted, Direct protein sequencing, 3D-structure, Cytokine",,,CHRNB1,Ligand-gated ion channel (TC 1.A.9),"Postsynaptic cell membrane, Cell membrane","Membrane, Disulfide bond, Transmembrane, Ion channel, Receptor, Alternative splicing, Glycoprotein, Ion transport, Disease variant, Signal, Reference proteome, Congenital myasthenic syndrome, Cell membrane, Transmembrane helix, Phosphoprotein, Transport, Postsynaptic cell membrane, Ligand-gated ion channel, Synapse",Transporters,Channels;Ligand_gated_ion_channels;cys-loop,,,True,CellChatDB v1
SCGB3A2_MARCO,UGRP1,SCGB3A2,MARCO,,,,,Secreted Signaling,SCGB3A2 - MARCO,PMID: 12847263,False,SCGB3A2,Secretoglobin,Secreted,"Disulfide bond, Secreted, Signal, Reference proteome",,,MARCO,,Cell membrane,"Immunity, Membrane, Reference proteome, Collagen, Cell membrane, Transmembrane helix, Disulfide bond, Innate immunity, Transmembrane, Signal-anchor, Receptor, Alternative splicing, Glycoprotein",,,,,,CellChatDB v1
SAA1_FPR2,SAA,SAA1,FPR2,,,,,Secreted Signaling,SAA1 - FPR2,PMID: 22610094,False,SAA1,SAA,Secreted,"Signal, Reference proteome, Secreted, Acute phase, Direct protein sequencing, HDL, 3D-structure, Amyloid, Methylation, Heparin-binding, Amyloidosis",secreted,False,FPR2,G-protein coupled receptor 1,Cell membrane,"Transducer, Membrane, Reference proteome, Cell membrane, Transmembrane helix, Disulfide bond, Transmembrane, Receptor, Chemotaxis, G-protein coupled receptor, 3D-structure, Glycoprotein",Receptors,GPCR;Rhodopsin,,,True,CellChatDB v1
LGALS9_CD45,GALECTIN,LGALS9,PTPRC,,,,,Secreted Signaling,LGALS9 - CD45,PMID: 30120235,False,LGALS9,,"Cytoplasm, Secreted, Nucleus","Lectin, Immunity, Reference proteome, Nucleus, Secreted, Chemotaxis, Cytoplasm, Alternative splicing, 3D-structure, Repeat",immune-related,False,PTPRC,Protein-tyrosine phosphatase,"Cell membrane, Membrane raft","Membrane, Host-virus interaction, Transmembrane, Alternative splicing, Glycoprotein, Disease variant, Signal, Hydrolase, Reference proteome, SCID, Cell membrane, Transmembrane helix, Phosphoprotein, Protein phosphatase, 3D-structure, Repeat",Receptors,Other_receptors;ReceptorTypePhosphatases,,,True,CellChatDB v1
LGALS9_P4HB,GALECTIN,LGALS9,P4HB,,,,,Secreted Signaling,LGALS9 - P4HB,PMID:21670307;uniprot,False,LGALS9,,"Cytoplasm, Secreted, Nucleus","Lectin, Immunity, Reference proteome, Nucleus, Secreted, Chemotaxis, Cytoplasm, Alternative splicing, 3D-structure, Repeat",immune-related,False,P4HB,Protein disulfide isomerase,"Melanosome, Endoplasmic reticulum, Endoplasmic reticulum lumen, Cell membrane","Membrane, Disulfide bond, Osteogenesis imperfecta, Isomerase, Endoplasmic reticulum, Chaperone, Disease variant, Signal, Reference proteome, Cell membrane, Phosphoprotein, Direct protein sequencing, Craniosynostosis, Redox-active center, 3D-structure, Acetylation, Repeat",,,,,False,CellChatDB v2
LGALS9_BCR_CD45_CD22,GALECTIN,LGALS9,BCR_CD45_CD22,,,,,Secreted Signaling,LGALS9 - BCR_CD45_CD22,PMID:30120235,False,LGALS9,,"Cytoplasm, Secreted, Nucleus","Lectin, Immunity, Reference proteome, Nucleus, Secreted, Chemotaxis, Cytoplasm, Alternative splicing, 3D-structure, Repeat",immune-related,False,"CD22, BCR, PTPRC","Immunoglobulin superfamily, SIGLEC (sialic acid binding Ig-like lectin), Protein-tyrosine phosphatase","Cell membrane, Cell projection, Axon, Synapse, Postsynaptic density, Dendritic spine, Membrane raft","Membrane, Disulfide bond, Transmembrane, Alternative splicing, Glycoprotein, Lectin, Signal, Reference proteome, Immunoglobulin domain, Cell membrane, Transmembrane helix, Phosphoprotein, Isopeptide bond, 3D-structure, Cell adhesion, Repeat, Coiled coil, GTPase activation, Kinase, ATP-binding, Methylation, Transferase, Cell projection, Chromosomal rearrangement, Proto-oncogene, Synapse, Guanine-nucleotide releasing factor, Serine/threonine-protein kinase, Nucleotide-binding, Acetylation, Host-virus interaction, Disease variant, Hydrolase, SCID, Protein phosphatase","Receptors, Miscellaneous","Other_receptors;ReceptorTypePhosphatases, IG_AdhesionProteins;StructuralAndAdhesion",,,True,CellChatDB v2
IGFBP3_TMEM219,IGFBP,IGFBP3,TMEM219,,,,,Secreted Signaling,IGFBP3 - TMEM219,PMID:20353938,False,IGFBP3,,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Phosphoprotein, Growth factor binding, Apoptosis, Direct protein sequencing, Alternative splicing, 3D-structure, Glycoprotein",secreted,False,TMEM219,,Cell membrane,"Membrane, Signal, Reference proteome, Cell membrane, Transmembrane helix, Transmembrane, Apoptosis, Receptor, Glycoprotein",Unclassified,Unclassified,,,True,CellChatDB v2
BDNF_NGFR,NT,BDNF,NGFR,,,,,Secreted Signaling,BDNF - NGFR,uniprot,False,BDNF,NGF-beta,Secreted,"Disease variant, Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Alternative promoter usage, Direct protein sequencing, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Glycoprotein",growth factor,False,NGFR,,"Perikaryon, Cell projection, Growth cone, Cell membrane, Dendritic spine","Membrane, Disulfide bond, Differentiation, Transmembrane, Receptor, Neurogenesis, Alternative splicing, Glycoprotein, Cell projection, Developmental protein, Signal, Biological rhythms, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Apoptosis, Synapse, 3D-structure, Repeat",Receptors,Other_receptors;TNFNGF,,,True,CellChatDB v2
BDNF_SORT1,NT,BDNF,SORT1,,,,,Secreted Signaling,BDNF - SORT1,uniprot,False,BDNF,NGF-beta,Secreted,"Disease variant, Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Alternative promoter usage, Direct protein sequencing, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Glycoprotein",growth factor,False,SORT1,VPS10-related sortilin,"Golgi apparatus, Golgi stack membrane, Lysosome membrane, Cell membrane, Nucleus membrane, Endosome membrane, Endoplasmic reticulum membrane","Membrane, Disulfide bond, Differentiation, Transmembrane, Receptor, Alternative splicing, Endoplasmic reticulum, Glycoprotein, Lysosome, Endocytosis, Developmental protein, Signal, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Nucleus, Phosphoprotein, Transport, Direct protein sequencing, Golgi apparatus, Cleavage on pair of basic residues, Osteogenesis, 3D-structure, Palmitate, Endosome, Repeat",Receptors,Other_receptors;VPS10R,,,True,CellChatDB v2
SLITRK6_PTPRS,SLITRK,SLITRK6,PTPRS,,,,,Secreted Signaling,SLITRK6 - PTPRS,PMID: 30648269;PMID: 30822649,False,SLITRK6,SLITRK,Cell membrane,"Vision, Membrane, Leucine-rich repeat, Signal, Reference proteome, Cell membrane, Transmembrane helix, Transmembrane, Hearing, Sensory transduction, Deafness, Repeat",,True,PTPRS,Protein-tyrosine phosphatase,"Perikaryon, Cell projection, Axon, Synaptosome, Synaptic vesicle membrane, Cytoplasmic vesicle, Growth cone, Neuron projection, Secretory vesicle, Postsynaptic density, Synapse, Cell membrane","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Cytoplasmic vesicle, Glycoprotein, Cell projection, Hydrolase, Reference proteome, Signal, Immunoglobulin domain, Cell membrane, Transmembrane helix, Synaptosome, Synapse, Protein phosphatase, 3D-structure, Cell adhesion, Heparin-binding, Repeat",Receptors,Other_receptors;ReceptorTypePhosphatases,,,True,CellChatDB v2
NTS_SORT1,NTS,NTS,SORT1,,,,,Secreted Signaling,NTS - SORT1,PMID: 34038712,False,NTS,Neurotensin,"Cytoplasmic vesicle, Secreted, Secretory vesicle","Signal, Reference proteome, Pyrrolidone carboxylic acid, Secreted, Cleavage on pair of basic residues, Vasoactive, 3D-structure, Cytoplasmic vesicle",secreted,False,SORT1,VPS10-related sortilin,"Golgi apparatus, Golgi stack membrane, Lysosome membrane, Cell membrane, Nucleus membrane, Endosome membrane, Endoplasmic reticulum membrane","Membrane, Disulfide bond, Differentiation, Transmembrane, Receptor, Alternative splicing, Endoplasmic reticulum, Glycoprotein, Lysosome, Endocytosis, Developmental protein, Signal, Reference proteome, Lipoprotein, Cell membrane, Transmembrane helix, Nucleus, Phosphoprotein, Transport, Direct protein sequencing, Golgi apparatus, Cleavage on pair of basic residues, Osteogenesis, 3D-structure, Palmitate, Endosome, Repeat",Receptors,Other_receptors;VPS10R,,,True,CellChatDB v2
PTPRS_NTRK3,PTPR,PTPRS,NTRK3,,,,,Secreted Signaling,PTPRS - NTRK3,PMID:21262467;PMID:25385546;,False,PTPRS,Protein-tyrosine phosphatase,"Perikaryon, Cell projection, Axon, Synaptosome, Synaptic vesicle membrane, Cytoplasmic vesicle, Growth cone, Neuron projection, Secretory vesicle, Postsynaptic density, Synapse, Cell membrane","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Cytoplasmic vesicle, Glycoprotein, Cell projection, Hydrolase, Reference proteome, Signal, Immunoglobulin domain, Cell membrane, Transmembrane helix, Synaptosome, Synapse, Protein phosphatase, 3D-structure, Cell adhesion, Heparin-binding, Repeat",,True,NTRK3,"Protein kinase superfamily, Tyr protein kinase",Membrane,"Membrane, Leucine-rich repeat, Disulfide bond, Differentiation, Kinase, Transmembrane, ATP-binding, Receptor, Neurogenesis, Alternative splicing, Tyrosine-protein kinase, Transferase, Glycoprotein, Developmental protein, Signal, Reference proteome, Immunoglobulin domain, Transmembrane helix, Phosphoprotein, Direct protein sequencing, 3D-structure, Nucleotide-binding, Repeat",Receptors,Kinase;neutrophin,,,True,CellChatDB v2
NRG1_INTEGRIN_A6B4_COMPLEX,NRG,NRG1,ITGA6_ITGB4,,,,,Secreted Signaling,NRG1 - (ITGA6+ITGB4),PMID: 20682778,True,NRG1,Neuregulin,"Membrane-bound isoform]: Cell membrane, [Pro-neuregulin-1","Membrane, Disulfide bond, Secreted, Transmembrane, Growth factor, Alternative splicing, EGF-like domain, Glycoprotein, Chromosomal rearrangement, Reference proteome, Immunoglobulin domain, Cell membrane, Nucleus, Transmembrane helix, Direct protein sequencing, 3D-structure",growth factor,True,"ITGA6, ITGB4","Integrin alpha chain, Integrin beta chain","Cell membrane, Hemidesmosome, Cell junction","Membrane, Disulfide bond, Transmembrane, Receptor, Alternative splicing, Glycoprotein, Signal, Reference proteome, Integrin, Lipoprotein, Metal-binding, Transmembrane helix, Cell membrane, Phosphoprotein, Direct protein sequencing, Calcium, Cleavage on pair of basic residues, Epidermolysis bullosa, 3D-structure, Palmitate, Cell adhesion, Repeat, Disease variant, Cell junction",Receptors,Integrin;Other_receptors,Adhesion receptor,,True,CellChatDB v2
NTF5_NGFR,NT,NTF4,NGFR,,,,,Secreted Signaling,NTF4 - NGFR,uniprot,False,NTF4,NGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Glaucoma, Cleavage on pair of basic residues, 3D-structure, Glycoprotein",growth factor,False,NGFR,,"Perikaryon, Cell projection, Growth cone, Cell membrane, Dendritic spine","Membrane, Disulfide bond, Differentiation, Transmembrane, Receptor, Neurogenesis, Alternative splicing, Glycoprotein, Cell projection, Developmental protein, Signal, Biological rhythms, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Apoptosis, Synapse, 3D-structure, Repeat",Receptors,Other_receptors;TNFNGF,,,True,CellChatDB v2
PROS1_MERTK,PROS,PROS1,MERTK,,,,,Secreted Signaling,PROS1 - MERTK,PMID: 34631419,False,PROS1,,Secreted,"Blood coagulation, Disulfide bond, Secreted, Gamma-carboxyglutamic acid, EGF-like domain, Thrombophilia, Glycoprotein, Disease variant, Fibrinolysis, Hydroxylation, Signal, Reference proteome, Calcium, Cleavage on pair of basic residues, Zymogen, 3D-structure, Hemostasis, Repeat",,,MERTK,"Protein kinase superfamily, Tyr protein kinase",Cell membrane,"Membrane, Disulfide bond, Transmembrane, Kinase, ATP-binding, Receptor, Tyrosine-protein kinase, Repeat, Transferase, Glycoprotein, Disease variant, Signal, Reference proteome, Immunoglobulin domain, Cell membrane, Transmembrane helix, Proto-oncogene, Phosphoprotein, 3D-structure, Nucleotide-binding, Retinitis pigmentosa",Receptors,Axl;Kinase,,,True,CellChatDB v2
TULP1_AXL,TULP,TULP1,AXL,,,,,Secreted Signaling,TULP1 - AXL,PMID: 20978473,False,TULP1,TUB,"Synapse, Cytoplasm, Secreted, Cell membrane","Disease variant, Vision, Membrane, Reference proteome, Cell membrane, Secreted, Sensory transduction, Cytoplasm, Alternative splicing, Phagocytosis, Synapse, 3D-structure, Leber congenital amaurosis, Retinitis pigmentosa",secreted,False,AXL,"Protein kinase superfamily, Tyr protein kinase",Cell membrane,"Immunity, Membrane, Host-virus interaction, Disulfide bond, Differentiation, Kinase, Transmembrane, ATP-binding, Host cell receptor for virus entry, Receptor, Alternative splicing, Tyrosine-protein kinase, Repeat, Transferase, Glycoprotein, Signal, Reference proteome, Immunoglobulin domain, Cell membrane, Innate immunity, Transmembrane helix, Proto-oncogene, Phosphoprotein, Oncogene, 3D-structure, Nucleotide-binding, Ubl conjugation",Receptors,Axl;Kinase,,,True,CellChatDB v2
TULP2_TYRO3,TULP,TULP2,TYRO3,,,,,Secreted Signaling,TULP2 - TYRO3,PMID: 30501104,False,TULP2,TUB,"Cytoplasm, Secreted","Phosphoprotein, Secreted, Cytoplasm, Reference proteome",,,TYRO3,"Protein kinase superfamily, Tyr protein kinase",Cell membrane,"Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Kinase, ATP-binding, Host cell receptor for virus entry, Receptor, Tyrosine-protein kinase, Transferase, Glycoprotein, Signal, Reference proteome, Immunoglobulin domain, Cell membrane, Transmembrane helix, Phosphoprotein, 3D-structure, Nucleotide-binding, Cell adhesion, Repeat",Receptors,Axl;Kinase,,,True,CellChatDB v2
TULP1_TYRO3,TULP,TULP1,TYRO3,,,,,Secreted Signaling,TULP1 - TYRO3,PMID: 20978472,False,TULP1,TUB,"Synapse, Cytoplasm, Secreted, Cell membrane","Disease variant, Vision, Membrane, Reference proteome, Cell membrane, Secreted, Sensory transduction, Cytoplasm, Alternative splicing, Phagocytosis, Synapse, 3D-structure, Leber congenital amaurosis, Retinitis pigmentosa",secreted,False,TYRO3,"Protein kinase superfamily, Tyr protein kinase",Cell membrane,"Membrane, Host-virus interaction, Disulfide bond, Transmembrane, Kinase, ATP-binding, Host cell receptor for virus entry, Receptor, Tyrosine-protein kinase, Transferase, Glycoprotein, Signal, Reference proteome, Immunoglobulin domain, Cell membrane, Transmembrane helix, Phosphoprotein, 3D-structure, Nucleotide-binding, Cell adhesion, Repeat",Receptors,Axl;Kinase,,,True,CellChatDB v2
NTF3_NGFR,NT,NTF3,NGFR,,,,,Secreted Signaling,NTF3 - NGFR,uniprot,False,NTF3,NGF-beta,Secreted,"Signal, Reference proteome, Disulfide bond, Secreted, Growth factor, Cleavage on pair of basic residues, Alternative splicing, 3D-structure, Glycoprotein",growth factor,False,NGFR,,"Perikaryon, Cell projection, Growth cone, Cell membrane, Dendritic spine","Membrane, Disulfide bond, Differentiation, Transmembrane, Receptor, Neurogenesis, Alternative splicing, Glycoprotein, Cell projection, Developmental protein, Signal, Biological rhythms, Reference proteome, Cell membrane, Transmembrane helix, Phosphoprotein, Apoptosis, Synapse, 3D-structure, Repeat",Receptors,Other_receptors;TNFNGF,,,True,CellChatDB v2
SLIT2_ROBO1,SLIT,SLIT2,ROBO1,,,,,Secreted Signaling,SLIT2 - ROBO1,PMID:10102268,False,SLIT2,,Secreted,"Leucine-rich repeat, Disulfide bond, Differentiation, Secreted, Neurogenesis, Alternative splicing, EGF-like domain, Glycoprotein, Signal, Developmental protein, Reference proteome, Direct protein sequencing, Chemotaxis, 3D-structure, Heparin-binding, Repeat",secreted,False,ROBO1,"Immunoglobulin superfamily, ROBO","Endoplasmic reticulum-Golgi intermediate compartment membrane, Cell membrane, Cell projection, Axon","Membrane, Disulfide bond, Differentiation, Transmembrane, Receptor, Neurogenesis, Alternative splicing, Repeat, Glycoprotein, Cell projection, Developmental protein, Signal, Reference proteome, Immunoglobulin domain, Cell membrane, Transmembrane helix, Phosphoprotein, Chemotaxis, 3D-structure, Ubl conjugation",Receptors,IG;OtherROBO,,,True,CellChatDB v2
RBP4_STRA6,RBP4,RBP4,STRA6,,,,,Secreted Signaling,RBP4 - STRA6,uniprot,False,RBP4,"Calycin superfamily, Lipocalin",Secreted,"Disease variant, Vision, Microphthalmia, Signal, Vitamin A, Reference proteome, Disulfide bond, Secreted, Transport, Direct protein sequencing, Sensory transduction, 3D-structure, Retinol-binding, Methylation",secreted,False,STRA6,,Cell membrane,"Disease variant, Membrane, Microphthalmia, Reference proteome, Vitamin A, Cell membrane, Transmembrane helix, Phosphoprotein, Transmembrane, Transport, Receptor, Alternative splicing, Retinol-binding, Glycoprotein",,,,,True,CellChatDB v2
ULBP3_NKG2D_HCST,MHC-I,ULBP3,NKG2D_HCST,,,,,Secreted Signaling,ULBP3 - (KLRK1+HCST),PMID: 10894171;PMID:24223577,False,ULBP3,MHC class I,"Cell membrane, GPI-anchor","Immunity, Membrane, Signal, Reference proteome, Host-virus interaction, GPI-anchor, Lipoprotein, Cell membrane, Disulfide bond, 3D-structure, Glycoprotein",,True,"KLRK1, HCST",DAP10,"Cell membrane, Membrane","Immunity, Membrane, Disulfide bond, Differentiation, Transmembrane, Signal-anchor, Receptor, Alternative splicing, Adaptive immunity, Glycoprotein, Lectin, Reference proteome, Cell membrane, Transmembrane helix, Innate immunity, 3D-structure, Signal, Phosphoprotein",Receptors,Class_E;SCAR,,,True,CellChatDB v2
ULBP2_NKG2D_HCST,MHC-I,ULBP2,NKG2D_HCST,,,,,Secreted Signaling,ULBP2 - (KLRK1+HCST),PMID: 10894171;PMID:24223577,False,ULBP2,MHC class I,"Endoplasmic reticulum, Secreted, Cell membrane, GPI-anchor","Immunity, Membrane, Signal, Reference proteome, Host-virus interaction, Lipoprotein, GPI-anchor, Cell membrane, Disulfide bond, Secreted, Direct protein sequencing, Endoplasmic reticulum, Glycoprotein",secreted,True,"KLRK1, HCST",DAP10,"Cell membrane, Membrane","Immunity, Membrane, Disulfide bond, Differentiation, Transmembrane, Signal-anchor, Receptor, Alternative splicing, Adaptive immunity, Glycoprotein, Lectin, Reference proteome, Cell membrane, Transmembrane helix, Innate immunity, 3D-structure, Signal, Phosphoprotein",Receptors,Class_E;SCAR,,,True,CellChatDB v2
ULBP1_NKG2D_HCST,MHC-I,ULBP1,NKG2D_HCST,,,,,Secreted Signaling,ULBP1 - (KLRK1+HCST),PMID: 10894171;PMID:24223577,False,ULBP1,MHC class I,"Endoplasmic reticulum, Cell membrane, GPI-anchor","Immunity, Membrane, Signal, Reference proteome, Host-virus interaction, GPI-anchor, Lipoprotein, Cell membrane, Disulfide bond, Endoplasmic reticulum, Glycoprotein",,True,"KLRK1, HCST",DAP10,"Cell membrane, Membrane","Immunity, Membrane, Disulfide bond, Differentiation, Transmembrane, Signal-anchor, Receptor, Alternative splicing, Adaptive immunity, Glycoprotein, Lectin, Reference proteome, Cell membrane, Transmembrane helix, Innate immunity, 3D-structure, Signal, Phosphoprotein",Receptors,Class_E;SCAR,,,True,CellChatDB v2
RAET1E_NKG2D_HCST,MHC-I,RAET1E,NKG2D_HCST,,,,,Secreted Signaling,RAET1E - (KLRK1+HCST),PMID: 10894171;PMID:24223577,False,RAET1E,MHC class I,"Secreted, Membrane","Immunity, Membrane, Signal, Reference proteome, Transmembrane helix, Disulfide bond, Secreted, Transmembrane, Alternative splicing, Glycoprotein",secreted,True,"KLRK1, HCST",DAP10,"Cell membrane, Membrane","Immunity, Membrane, Disulfide bond, Differentiation, Transmembrane, Signal-anchor, Receptor, Alternative splicing, Adaptive immunity, Glycoprotein, Lectin, Reference proteome, Cell membrane, Transmembrane helix, Innate immunity, 3D-structure, Signal, Phosphoprotein",Receptors,Class_E;SCAR,,,True,CellChatDB v2
